obs,period,time,T_01,T_02,T_03,T_04,T_05,T_06,T_07,T_08,T_09,T_10,T_11,T_12,prec,A_init,W_init,E_init,N_init,H_init,A_in,W_in,E_in,N_in,H_in,size,c_obs,c_unc
2,1,0.36164383561643837,-12,-8.7,-1.5,7.2,14.2,19.2,22,20.3,15.1,8.8,-0.1,-8.7,728,429,339,158,74,0,0,0,0,0,0,0,884.2010473315382,100
3,1,0.8383561643835616,-12,-8.7,-1.5,7.2,14.2,19.2,22,20.3,15.1,8.8,-0.1,-8.7,728,429,339,158,74,0,0,0,0,0,0,0,695.0870032604005,100
4,1,1.8383561643835618,-12,-8.7,-1.5,7.2,14.2,19.2,22,20.3,15.1,8.8,-0.1,-8.7,728,429,339,158,74,0,0,0,0,0,0,0,437.0613946244464,100
5,1,2.835616438356164,-12,-8.7,-1.5,7.2,14.2,19.2,22,20.3,15.1,8.8,-0.1,-8.7,728,429,339,158,74,0,0,0,0,0,0,0,303.6371419762853,100
6,1,3.8328767123287673,-12,-8.7,-1.5,7.2,14.2,19.2,22,20.3,15.1,8.8,-0.1,-8.7,728,429,339,158,74,0,0,0,0,0,0,0,249.888657443884,100
7,1,4.83013698630137,-12,-8.7,-1.5,7.2,14.2,19.2,22,20.3,15.1,8.8,-0.1,-8.7,728,429,339,158,74,0,0,0,0,0,0,0,176.97237492142304,100
9,2,0.36164383561643837,-12,-8.7,-1.5,7.2,14.2,19.2,22,20.3,15.1,8.8,-0.1,-8.7,728,412,259,74,256,0,0,0,0,0,0,0,859.3511963909899,100
10,2,0.8383561643835616,-12,-8.7,-1.5,7.2,14.2,19.2,22,20.3,15.1,8.8,-0.1,-8.7,728,412,259,74,256,0,0,0,0,0,0,0,812.1747690931079,100
11,2,1.8383561643835618,-12,-8.7,-1.5,7.2,14.2,19.2,22,20.3,15.1,8.8,-0.1,-8.7,728,412,259,74,256,0,0,0,0,0,0,0,616.4049892467351,100
12,2,2.835616438356164,-12,-8.7,-1.5,7.2,14.2,19.2,22,20.3,15.1,8.8,-0.1,-8.7,728,412,259,74,256,0,0,0,0,0,0,0,341.57778005542895,100
